OBJECTID,OFT_1,STREET_O_N,STREET_F_N,STREET_T_N,NETWORK,BRANCH,SECTION,PAVEMENT,BASE,CONST_YR,RENOVATION,SEALCOAT_Y,SEALCOAT_C,OVERLAY_YR,PCI,PCI_BRANCH,LENGTH,COMMENTS_1,COMMENTS_2,INSPECTION,REFNO_ALL,join_X,join_Y,join_Objectid,join_Call_Taken,join_Location,join_Latitude,join_Longitude,join_Ward,join_Community,join_Neighborho,join_Tow_Zone,join_Day,join_Snow_Emerg,distance
"5853","024915161809",24TH ST W,EMERSON AVE S,HENNEPIN AVE,RES,"2742","13",ASPHALT7,CRUSH.CONC,"1986",,"1998","2",,,"62","75",,,2014-07-02T00:00:00.000Z,"2387",-93.294503,44.960025,"1250",2019-02-13T00:00:00.000Z,2228 EMERSON AVE S,44.960025,-93.294503,"7",Calhoun Isle,East Isles,"3","2",Westminster,0.000926280933863325
"5854","024914181338",24TH ST W,DUPONT AVE S,COLFAX AVE S,MSA,"237","2",ASPHALT9,CLASS 5,"1971",,"2006","2",,"71",,"329",,,2013-08-29T00:00:00.000Z,"2389",-93.293121,44.959312,"2629",2019-02-14T00:00:00.000Z,2323 DUPONT AVE S,44.959312,-93.293121,"10",Calhoun Isle,Lowry Hill East,"3","3",Westminster,0.000187536365470078
"5855","024912281104",24TH ST W,BRYANT AVE S,ALDRICH AVE S,MSA,"237","2",ASPHALT9,CLASS 5,"1971",,"2006","2",,"71",,"329",,,2013-08-29T00:00:00.000Z,"2391",-93.289293,44.958799,"4065",2019-02-13T00:00:00.000Z,2412 ALDRICH AVE S,44.958799,-93.289293,"10",Calhoun Isle,Lowry Hill East,"3","2",Westminster,0.000323072153606556
"5856","024918041715",24TH ST W,HARRIET AVE,GRAND AVE S,MSA,"237","2",ASPHALT9,CLASS 5,"1971",,"2006","2",,"71",,"329",,,2013-08-29T00:00:00.000Z,"2395",-93.284238,44.958992,"3890",2019-02-13T00:00:00.000Z,2400 GRAND AVE S,44.958992,-93.284238,"10",Powderhorn,Whittier,"3","2",Westminster,0.000124199494218389
"5857","024926152614",24TH ST W,PLEASANT AVE,PILLSBURY AVE,MSA,"237","2",ASPHALT9,CLASS 5,"1971",,"2006","2",,"71",,"430",,,2013-08-29T00:00:00.000Z,"2397",-93.282874,44.959407,"1853",2019-02-14T00:00:00.000Z,2329 PLEASANT AVE,44.959407,-93.282874,"10",Powderhorn,Whittier,"3","3",Westminster,0.000293150345053451
"5858","024912132405",24TH ST W,BLAISDELL AVE,NICOLLET AVE,MSA,"237","2",ASPHALT9,CLASS 5,"1971",,"2006","2",,"71",,"458",,,2013-08-29T00:00:00.000Z,"2399",-93.279126,44.957483,"372",02/13/2019 03:23pm,"24 25th st w ,Minneapolis,MN",44.957483,-93.279126,"10",Powderhorn,Whittier,"3","2",Westminster,0.00162906076551065
"5859","010203640354",10TH AVE S,36TH ST E,35TH ST E,RES,"2652","3",ASPHALT7m,S.GRAN.MAT.,"1976",,"2006","3",,,"73","659",,,2013-08-26T00:00:00.000Z,"1056",-93.260968,44.937919,"671",02/14/2019 03:32pm,"3555 Elliot Avenue South,Minneapolis,MN",44.937919,-93.260968,"9",Powderhorn,Powderhorn Park,"6","3",Westminster,0.000956570648148771
"5860","340205690559",XERXES AVE S,56TH ST W,55TH ST W,CSAH,"031","1",ASPH/CONC,UNKNOWN,"1963",,,,"2014",,,"660",,,,"12425",-93.317565,44.897159,"4233",2019-02-13T00:00:00.000Z,5824 WASHBURN AVE S,44.897159,-93.317565,"13",Southwest,Armatage,"5","2",Westminster,0.00463081238616669
"5861","340204490439",XERXES AVE S,44TH ST W,43RD ST W,MSA,"204","2",ASPHALT,BIT.ST.SOIL,"1968",,"2014","1","2009","87",,"648",,,2013-09-23T00:00:00.000Z,"12437",-93.320256,44.924401,"4362",2019-02-13T00:00:00.000Z,4318 YORK AVE S,44.924401,-93.320256,"13",Southwest,Linden Hills,"5","2",Westminster,0.00138097935977005
"5862","002615010011",2ND ST NE,EAST HENNEPIN AVE,1ST AVE NE,MSA,"226","4",ASPH/CONC,UNKNOWN,"1956",,,,"2012","100",,"418",,,2012-11-01T00:00:00.000Z,"208",-93.256768,44.98835,"725",2019-02-12T00:00:00.000Z,14 UNIVERSITY AVE NE,44.98835,-93.256768,"3",University,Nicollet Island - East Bank,"2","1",Westminster,0.00135350359005086
"5863","220604292206",WEST LAKE HARRIET PKWY,42ND ST W,WEST LAKE HARRIET PKWY,PRKBD,HARIET,1W,ASPHALT7m,CLASS 5,"1979",,"1998","3",,"50",,"2021",,,2010-09-16T00:00:00.000Z,"12222",-93.315563,44.921361,"2580",2019-02-14T00:00:00.000Z,2801 45TH ST W,44.921361,-93.315563,"13",Southwest,Linden Hills,"5","3",Westminster,0.00355733742314035
"5864","002600810091",2ND ST NE,8TH AVE NE,9TH AVE NE,MSA,"226",2B,ASPH/CONC,UNKNOWN,"1956",,,,"2012","100",,"397",,,2012-11-01T00:00:00.000Z,"215",-93.264635,44.999523,"1049",2019-02-13T00:00:00.000Z,1124 3RD ST NE,44.999523,-93.264635,"3",Northeast,Sheridan,"2","2",Westminster,0.00238128884198069
"5865","002601610171",2ND ST NE,16TH AVE NE,17TH AVE NE,MSA,"226",2A,ASPH/CONC,UNKNOWN,"1956",,"1984","1",,"30",,"396","Pavement Exception: SOME PVMT OVERLAID, (REDUCED CURB HEIGHT), YEAR OF O.L. UNKNOWN.",,2011-08-30T00:00:00.000Z,"223",-93.267711,45.003258,"987",2019-02-13T00:00:00.000Z,1510 MAIN ST NE,45.003258,-93.267711,"3",Northeast,Sheridan,"2","2",Westminster,0.00181040201388412
"5866","002601710191",2ND ST NE,17TH AVE NE,19TH AVE NE,MSA,"226","2",ASPH/CONC,UNKNOWN,"1956",,,,"2012","100",,"796",,,2012-11-01T00:00:00.000Z,"224",-93.265916,45.007258,"575",02/14/2019 12:35pm,"217 19th ave ne,Minneapolis,MN",45.007258,-93.265916,"3",Northeast,Bottineau,"2","3",Westminster,0.000247367367254412
"5867","180402490229",HARRIET AVE,24TH ST W,22ND ST W,RES,"2812","2",ASPHALT7,CRUSH.CONC,"1982",,"2004","3",,,"71","653",,,2012-09-27T00:00:00.000Z,"8733",-93.285487,44.960543,"3837",2019-02-13T00:00:00.000Z,2210 HARRIET AVE S,44.960543,-93.285487,"10",Powderhorn,Whittier,"3","2",Westminster,1.79928873332037e-05
"5868","222600450035",LOWRY AVE N,4TH ST N,3RD ST N,CSAH,"153",2A,ASPHALT9,UNKNOWN,"2006",,,,,,,"397",,,,"9627",-93.28334,45.012844,"818",2019-02-13T00:00:00.000Z,3122 3RD ST N,45.012844,-93.28334,"5",Near North,Hawthorne,"1","2",Westminster,0.000268755755149812
"5869","003503500360",3RD ST N,35TH AVE N,36TH AVE N,RES,"2726","6",ASPHALT7,CRUSH.CONC,"1995",,"1996","1",,,"59","578",,,2012-04-30T00:00:00.000Z,"365",-93.283496,45.018723,"4611",2019-02-14T00:00:00.000Z,3505 3RD ST N,45.018723,-93.283496,"4",Camden,McKinley,"1","3",Westminster,2.90033103120485e-05
"5870","003612210121",3RD ST NE,BROADWAY ST NE,12TH AVE NE,RES,"2799","5",ASPHALT7,CRUSH.CONC,"1978",,"2000","3",,,"53","404",,,2013-05-28T00:00:00.000Z,"366",-93.264635,44.999523,"1049",2019-02-13T00:00:00.000Z,1124 3RD ST NE,44.999523,-93.264635,"3",Northeast,Sheridan,"2","2",Westminster,1.788871686002e-05
"5871","003601610171",3RD ST NE,16TH AVE NE,17TH AVE NE,RES,"2799","5",ASPHALT7,CRUSH.CONC,"1978",,"2000","3",,,"53","396",,,2013-05-28T00:00:00.000Z,"371",-93.262876,45.004034,"3925",2019-02-13T00:00:00.000Z,332 16TH AVE NE,45.004034,-93.262876,"3",Northeast,Sheridan,"2","2",Westminster,0.0017569287515039
"5872","003602210231",3RD ST NE,22ND AVE NE,23RD AVE NE,RES,"2741","4",ASPHALT7,CRUSH.CONC,"1978",,"2000","3",,,"51","371",,,2013-05-30T00:00:00.000Z,"375",-93.264668,45.010334,"1191",2019-02-13T00:00:00.000Z,2206 3RD ST NE,45.010334,-93.264668,"3",Northeast,Bottineau,"2","2",Westminster,2.3679244600106e-05
"5873","003603510361",3RD ST NE,35TH AVE NE,36TH AVE NE,RES,"2650","3",ASPHALT7m,S.GRAN.MAT.,"1974",,"2001","4",,,"75","660",,,2012-11-13T00:00:00.000Z,"382",-93.260006,45.035262,"4060",2019-02-13T00:00:00.000Z,3640 5TH ST NE,45.035262,-93.260006,"1",Northeast,Columbia Park,"2","2",Westminster,0.00412413687081577
"5874","003724191809",3RD ST S,NICOLLET MALL,HENNEPIN AVE,MSA,"340",1A,ASPH/CONC,UNKNOWN,"1963",,,,"2011","100",,"370",,,2011-11-01T00:00:00.000Z,"394",-93.272726,44.986356,"750",2019-02-12T00:00:00.000Z,403 2ND ST N,44.986356,-93.272726,"3",Central,North Loop,"3","1",Westminster,0.00568010242655124
"5875","003700320022",3RD ST S,3RD AVE S,2ND AVE S,MSA,"340",1A,ASPH/CONC,UNKNOWN,"1963",,,,"2011","100",,"411",,,2011-11-01T00:00:00.000Z,"391",-93.265821,44.975475,"166",02/13/2019 11:48am,"412 6th st ,Minneapolis,MN",44.975475,-93.265821,"7",Central,Downtown West,"3","2",Westminster,0.00366984050557543
"5876","008700220032",8TH ST S,2ND AVE S,3RD AVE S,MSA,"434","4",ASPH/CONC,UNKNOWN,"1952",,"1985","1","1975","27",,"411",Pavement Exception: BUS PAD CONST. AT 4TH AVE IN 2000.,,2009-10-14T00:00:00.000Z,"943",-93.265821,44.975475,"166",02/13/2019 11:48am,"412 6th st ,Minneapolis,MN",44.975475,-93.265821,"7",Central,Downtown West,"3","2",Westminster,0.00340431591854221
"5877","008700522618",8TH ST S,5TH AVE S,PORTLAND AVE,MSA,"434","6",ASPH/CONC,UNKNOWN,"1967",,,,,"41",,"410",,,2009-10-14T00:00:00.000Z,"946",-93.265821,44.975475,"166",02/13/2019 11:48am,"412 6th st ,Minneapolis,MN",44.975475,-93.265821,"7",Central,Downtown West,"3","2",Westminster,0.00247249866192004
"5878","008700920112",8TH ST S,9TH AVE S,11TH AVE S,MSA,"434","7",ASPH/CONC,UNKNOWN,"1967","1997","2011","1",,"84",,"820",,,2009-10-14T00:00:00.000Z,"950",-93.259492,44.970179,"540",02/14/2019 11:53am,"845 10th ave n,Minneapolis,MN",44.970179,-93.259492,"6",Central,Elliot Park,"3","3",Westminster,7.79806812166077e-06
"5879","008702720282",8TH ST S,27TH AVE S,28TH AVE S,RES,"2810","13",ASPHALT7,CRUSH.CONC,"1990",,"2000","2",,,"68","411",Pavement Exception: 25TH - 26TH AVE IS 9 TON ASPH PVMT,,2013-07-24T00:00:00.000Z,"957",-93.228158,44.963054,"4294",2019-02-13T00:00:00.000Z,930 30TH AVE S,44.963054,-93.228158,"2",Longfellow,Seward,"4","2",Westminster,0.00393817666312136
"5880","008813200023",8TH ST SE,CENTRAL AVE NE,2ND AVE SE,MSA,"231","1",ASPHALT7,CRUSH.CONC,"1985",,"2010","3",,"62",,"415",,,2010-05-24T00:00:00.000Z,"959",-93.249789,44.99081,"817",2019-02-13T00:00:00.000Z,724 2ND AVE SE,44.99081,-93.249789,"3",University,Marcy Holmes,"2","2",Westminster,0.000401383166810107
"5881","008815010033",8TH ST SE,EAST HENNEPIN AVE,3RD AVE SE,MSA,"231","2",ASPHALT9,S.GRAN.MAT.,"1971",,"1984","1",,"34",,"98",,,2011-08-31T00:00:00.000Z,"961",-93.249789,44.99081,"817",2019-02-13T00:00:00.000Z,724 2ND AVE SE,44.99081,-93.249789,"3",University,Marcy Holmes,"2","2",Westminster,0.00132811553954254
"5882","014204440434",14TH AVE S,44TH ST E,43RD ST E,RES,"2683","6",ASPHALT7,CRUSH.CONC,"1988",,"2000","2",,,"73","659",,,2012-10-09T00:00:00.000Z,"1420",-93.254983,44.924065,"1086",2019-02-13T00:00:00.000Z,4332 14TH AVE S,44.924065,-93.254983,"11",Nokomis,Northrop,"6","2",Westminster,4.47722061836624e-05
"5883","014204340424",14TH AVE S,43RD ST E,42ND ST E,RES,"2683","6",ASPHALT7,CRUSH.CONC,"1988",,"2000","2",,,"73","660",,,2012-10-09T00:00:00.000Z,"1421",-93.254983,44.924065,"1086",2019-02-13T00:00:00.000Z,4332 14TH AVE S,44.924065,-93.254983,"11",Nokomis,Northrop,"6","2",Westminster,0.00106346177515289
"5884","006503102226",6TH ST N,31ST AVE N,LOWRY AVE N,RES,"2883","5",ASPHALT7,CRUSH.CONC,"1993",,"1994","1",,,"72","361",,,2011-06-08T00:00:00.000Z,"751",-93.286407,45.012513,"1202",2019-02-13T00:00:00.000Z,3114 6TH ST N,45.012513,-93.286407,"5",Near North,Hawthorne,"1","2",Westminster,1.99113082923554e-05
"5885","014204140404",14TH AVE S,41ST ST E,40TH ST E,RES,"2631","11",ASPHALT7m,CLASS 3,"1971",,"1996","3",,,"70","657",,,2013-07-15T00:00:00.000Z,"1423",-93.254928,44.93015,"997",2019-02-13T00:00:00.000Z,4010 14TH AVE S,44.93015,-93.254928,"8",Powderhorn,Bancroft,"6","2",Westminster,1.03350198819248e-06
"5886","010203544344",10TH AVE S,35TH ST E,34 1/2 ST E,RES,"2652","3",ASPHALT7m,S.GRAN.MAT.,"1976",,"2006","3",,,"73","361",,,2013-08-26T00:00:00.000Z,"1057",-93.261305,44.940588,"1600",2019-02-13T00:00:00.000Z,3418 ELLIOT AVE,44.940588,-93.261305,"9",Powderhorn,Powderhorn Park,"6","2",Westminster,0.00126502341174398
"5887","010222030294",10TH AVE S,LAKE ST E,29TH ST E,RES,"2635","8",ASPHALT9,S.GRAN.MAT.,"1974",,"1999","3",,,"62","631",Pavement Exception: LAKE - 29TH ST WAS RECONST. IN 2005 AS PART OF DEVELOPMENT.,,2013-08-08T00:00:00.000Z,"1064",-93.25953,44.950029,"2819",2019-02-14T00:00:00.000Z,1017 29TH ST E,44.950029,-93.25953,"9",Phillips,Midtown Phillips,"3","3",Westminster,0.000577853241537793
"5888","010202841114",10TH AVE S,28TH ST E,ANDERSEN LN,RES,"2635","9",ASPHALT7m,S.GRAN.MAT.,"1974",,"1999","3",,,"62","312",,,2013-08-08T00:00:00.000Z,"1066",-93.260106,44.952474,"1979",2019-02-14T00:00:00.000Z,2745 10TH AVE S,44.952474,-93.260106,"9",Phillips,Midtown Phillips,"3","3",Westminster,1.22072384729385e-05
"5889","010202540244",10TH AVE S,25TH ST E,24TH ST E,RES,"2985","4",ASPHALT7m,S.GRAN.MAT.,"1972","2003","2004","1",,,"76","652",,,2014-06-26T00:00:00.000Z,"1069",-93.260069,44.958066,"3359",2019-02-13T00:00:00.000Z,2440 10TH AVE S,44.958066,-93.260069,"9",Phillips,Midtown Phillips,"3","2",Westminster,3.43747987787262e-05
"5890","010202240214",10TH AVE S,22ND ST E,21ST ST E,LOCAL,10AVS,"3",ASPH/CONC,UNKNOWN,"1927",,,,"2011","100",,"327",,,2011-11-01T00:00:00.000Z,"1071",-93.259647,44.961626,"1901",2019-02-14T00:00:00.000Z,2101 10TH AVE S,44.961626,-93.259647,"6",Phillips,Ventura Village,"3","3",Westminster,7.80561988533013e-06
"5891","010201940184",10TH AVE S,19TH ST E,18TH ST E,RES,"2910","13",ASPHALT7,CRUSH.CONC,"2000",,"2001","1",,,"76","446",,,2013-08-20T00:00:00.000Z,"1074",-93.259725,44.964256,"3678",2019-02-13T00:00:00.000Z,1820 10TH AVE S,44.964256,-93.259725,"6",Phillips,Ventura Village,"3","2",Westminster,3.89277901581118e-05
"5892","010200770067",10TH AVE S,7TH ST S,6TH ST S,MSA,"421","1",ASPHALT,CRUSH.ROCK,"1993",,"2011","2",,"83",,"408",,,2006-07-13T00:00:00.000Z,"1077",-93.257722,44.972041,"658",02/14/2019 02:54pm,"1007 6th street ,Minneapolis,MN",44.972041,-93.257722,"3",Central,Elliot Park,"3","3",Westminster,0.000103610506885975
"5893","042935033402",42ND ST W,YORK AVE S,XERXES AVE S,RES,"2599","30",ASPHALT7,BIT.ST.SOIL,"1968",,,,"2012",,"100","332",,,2012-11-01T00:00:00.000Z,"4860",-93.320256,44.924401,"4362",2019-02-13T00:00:00.000Z,4318 YORK AVE S,44.924401,-93.320256,"13",Southwest,Linden Hills,"5","2",Westminster,0.00251037294355821
"5894","010331040048",10TH AVE SE,UNIVERSITY AVE SE,4TH ST SE,MSA,"328","4",ASPHALT9,CRUSH.CONC,"1989",,"2011","2",,"77",,"412",Sealcoat Exception: UNIV.-4TH WAS O.L. AND  ONLY 4TH. - 5TH ST SE WAS S.C. IN 2011,,2010-05-25T00:00:00.000Z,"1082",-93.241067,44.98362,"388",02/13/2019 04:21pm,"928 5th street ,Minneapolis,MN",44.98362,-93.241067,"3",University,Marcy Holmes,"4","2",Westminster,0.000954495222308243
"5895","002602010221",2ND ST NE,20TH AVE NE,22ND AVE NE,MSA,"226","2",ASPH/CONC,UNKNOWN,"1956",,,,"2012","100",,"557",,,2012-11-01T00:00:00.000Z,"226",-93.265916,45.007258,"575",02/14/2019 12:35pm,"217 19th ave ne,Minneapolis,MN",45.007258,-93.265916,"3",Northeast,Bottineau,"2","3",Westminster,0.00130799030865361
"5896","002602210231",2ND ST NE,22ND AVE NE,23RD AVE NE,MSA,"226","2",ASPH/CONC,UNKNOWN,"1956",,,,"2012","100",,"369",,,2012-11-01T00:00:00.000Z,"227",-93.267557,45.010078,"358",02/13/2019 03:00pm,"110 22nd ave ne,Minneapolis,MN",45.010078,-93.267557,"3",Northeast,Bottineau,"2","2",Westminster,0.00138248831800404
"5897","002622270261",2ND ST NE,LOWRY AVE NE,26TH AVE NE,MSA,"226","1",ASPHALT9,S.GRAN.MAT.,"1987",,"2006","3",,"79",,"661",,,2011-08-30T00:00:00.000Z,"230",-93.26533,45.015002,"1267",2019-02-13T00:00:00.000Z,230 26TH AVE NE,45.015002,-93.26533,"1",Northeast,Marshall Terrace,"2","2",Westminster,0.000870318703999793
"5898","005813190023",5TH ST SE,CENTRAL AVE SE,2ND AVE SE,LOCAL,05STSE,"1",ASPHALT9,UNKNOWN,"1980",,"1988","1",,"79",,"413",,,2009-11-10T00:00:00.000Z,"696",-93.252937,44.988616,"3496",2019-02-13T00:00:00.000Z,106 5TH ST SE,44.988616,-93.252937,"3",University,Marcy Holmes,"4","2",Westminster,9.77800600288553e-06
"5899","005800630073",5TH ST SE,6TH AVE SE,7TH AVE SE,RES,"2251","7",ASPHALT7m,S.GRAN.MAT.,"1976","2004","2005","1",,,"91","413",,,2012-11-08T00:00:00.000Z,"701",-93.244675,44.985371,"4757",2019-02-14T00:00:00.000Z,507 7TH AVE SE,44.985371,-93.244675,"3",University,Marcy Holmes,"4","3",Westminster,3.48324006206734e-05
"5900","005801330143",5TH ST SE,13TH AVE SE,14TH AVE SE,RES,"2986","7",ASPHALT7m,S.GRAN.MAT.,"1976","2003","2004","1",,,"70","413",,,2014-07-29T00:00:00.000Z,"708",-93.235757,44.981816,"796",2019-02-12T00:00:00.000Z,1316 5TH ST SE,44.981816,-93.235757,"3",University,Marcy Holmes,"4","1",Westminster,3.68180493302889e-05
"5901","290414043323",SAINT MARYS AVE,DELAWARE ST SE,WILLIAMS AVE SE,RES,"2685","5",ASPHALT7,CRUSH.CONC,"1979",,"1993","3",,,"85","76",,,2013-07-18T00:00:00.000Z,"11143",-93.217948,44.970506,"2679",2019-02-14T00:00:00.000Z,2809 DELAWARE ST SE,44.970506,-93.217948,"2",University,Prospect Park - East River Road,"4","3",Westminster,0.000464991508977517
"5902",00712802CDSE,7TH AVE NE,RAMSEY ST NE,CUL-DE-SAC (E),RES,"2719","4",ASPHALT7,CLASS 5,"1975",,"1998","1",,,"53","352",,,2014-07-07T00:00:00.000Z,"828",-93.266943,44.996304,"1675",2019-02-13T00:00:00.000Z,118 9TH AVE NE,44.996304,-93.266943,"3",Northeast,St. Anthony West,"2","2",Westminster,0.00220075759470074
"5903","210422012204",KNOX AVE S,LAGOON AVE,LAKE ST W,RES,"2783","1",ASPHALT7,CRUSH.CONC,"1989",,"2001","2",,,"73","325",,,2013-07-02T00:00:00.000Z,"9326",-93.30507,44.949155,"1734",2019-02-14T00:00:00.000Z,2907 KNOX AVE S,44.949155,-93.30507,"7",Calhoun Isle,Cedar - Isles - Dean,"3","3",Westminster,9.24774496678371e-05
"5904",00352226DEDN,3RD ST N,LOWRY AVE N,DEAD END (N),RES,"2726","5",ASPHALT,UNKNOWN,"1995",,"1996","1",,,"59","465",,,2012-04-30T00:00:00.000Z,"364",-93.28334,45.012844,"818",2019-02-13T00:00:00.000Z,3122 3RD ST N,45.012844,-93.28334,"5",Near North,Hawthorne,"1","2",Westminster,0.000268755755149812
"5905","132522211312",CHESTNUT AVE W,LOGAN AVE N,NORTH CEDAR LAKE RD,RES,"2947","10",ASPHALT7,CEM.ST.SOIL,"1963","2001","2012","2",,,"76","40",,,2014-08-20T00:00:00.000Z,"7234",-93.303274,44.978634,"4145",2019-02-13T00:00:00.000Z,228 LOGAN AVE N,44.978634,-93.303274,"5",Near North,Harrison,"3","2",Westminster,0.00150787932671872
"5906","003503102226",3RD ST N,31ST AVE N,LOWRY AVE N,RES,"2883","7",ASPHALT7,CRUSH.CONC,"1993",,"1994","1",,,"72","416",,,2011-06-08T00:00:00.000Z,"363",-93.283376,45.012225,"2",02/13/2019 08:13am,"3122 N 3rd St ,Minneapolis,MN",45.012225,-93.283376,"5",Near North,Hawthorne,"1","2",Westminster,3.48651833542851e-06
"5907","132604140404",CHICAGO AVE,41ST ST E,40TH ST E,MSA,"165","6",ASPH/CONC,UNKNOWN,"1957",,,,"2011","100",,"658",,,2011-11-01T00:00:00.000Z,"7259",-93.263163,44.928777,"3064",2019-02-13T00:00:00.000Z,742 41ST ST E,44.928777,-93.263163,"8",Powderhorn,Bryant,"5","2",Westminster,0.000661394381010025
"5908","132704890479",CHOWEN AVE S,48TH ST W,47TH ST W,RES,"2559","1",ASPHALT7,CEM.ST.SOIL,"1962",,"2004","2",,,"55","657",,,2013-09-11T00:00:00.000Z,"7304",-93.325161,44.916153,"3917",2019-02-13T00:00:00.000Z,3524 48TH ST W,44.916153,-93.325161,"13",Southwest,Fulton,"5","2",Westminster,0.000320832953118028
"5909","132704190409",CHOWEN AVE S,41ST ST W,40TH ST W,RES,"2599","15",ASPHALT7,BIT.ST.SOIL,"1968",,,,"2012",,"100","660",,,2012-11-01T00:00:00.000Z,"7314",-93.325199,44.928244,"4373",2019-02-13T00:00:00.000Z,4112 BEARD AVE S,44.928244,-93.325199,"13",Southwest,Linden Hills,"5","2",Westminster,0.000485039236983234
"5910","133405340534",CLINTON AVE,53RD ST E,53RD ST E,RES,"2639","2",ASPHALT7m,S.GRAN.MAT.,"1974",,,,"2013",,"100","166",,,2013-11-01T00:00:00.000Z,"7365",-93.270465,44.908146,"4135",2019-02-13T00:00:00.000Z,5214 HAMPSHIRE DR,44.908146,-93.270465,"11",Nokomis,Page,"5","2",Westminster,0.00125834800189859
"5911","241700470037",NORM MCGREW PL,4TH ST S,3RD ST S,LOCAL,NORM,"1",ASPH/CONC,UNKNOWN,"1981",,,,,"53",,"266",,,2011-11-18T00:00:00.000Z,"10316",-93.257722,44.972041,"658",02/14/2019 02:54pm,"1007 6th street ,Minneapolis,MN",44.972041,-93.257722,"3",Central,Elliot Park,"3","3",Westminster,0.00292464524415732
"5912","250300700075",OAK LAKE AVE N,7TH AVE N,7TH ST N,MSA,"194","5",ASPHALT9,CLASS 5,"1969",,,,"2013","100",,"120",,,2013-11-01T00:00:00.000Z,"10334",-93.285783,44.985079,"4207",2019-02-13T00:00:00.000Z,712 8TH AVE N,44.985079,-93.285783,"5",Central,North Loop,"1","2",Westminster,0.000324570437866141
"5913","014203840374",14TH AVE S,38TH ST E,37TH ST E,RES,"2689","6",ASPHALT7,CRUSH.CONC,"1978",,"1999","3",,,"76","658",,,2012-10-04T00:00:00.000Z,"1426",-93.254995,44.935702,"928",2019-02-13T00:00:00.000Z,3708 14TH AVE S,44.935702,-93.254995,"9",Powderhorn,Powderhorn Park,"6","2",Westminster,6.48299353088203e-05
"5914",0142DEDS0334,14TH AVE S,DEAD END (S),33RD ST E,RES,"2652",11A,ASPHALT7m,S.GRAN.MAT.,"1976",,"2006","3",,,"73","301",,,2013-08-26T00:00:00.000Z,"1429",-93.255034,44.943299,"2334",2019-02-14T00:00:00.000Z,3253 14TH AVE S,44.943299,-93.255034,"9",Powderhorn,Powderhorn Park,"6","3",Westminster,0.000368526438793295
"5915","014226190314",14TH AVE S,POWDERHORN TER,31ST ST E,RES,"2652",11A,ASPHALT7m,S.GRAN.MAT.,"1976",,"2006","3",,,"73","327",,,2013-08-26T00:00:00.000Z,"1432",-93.255053,44.946616,"2316",2019-02-14T00:00:00.000Z,3055 14TH AVE S,44.946616,-93.255053,"9",Powderhorn,Powderhorn Park,"6","3",Westminster,6.64012092128314e-05
"5916",01420314DEDN,14TH AVE S,31ST ST E,DEAD END (N),RES,"2652","12",ASPHALT9,S.GRAN.MAT.,"1976",,"2006","3",,,"73","531",,,2013-08-26T00:00:00.000Z,"1433",-93.255041,44.946635,"3427",2019-02-13T00:00:00.000Z,3058 14TH AVE S,44.946635,-93.255041,"9",Powderhorn,Powderhorn Park,"6","2",Westminster,3.33743538253243e-06
"5917","014202840274",14TH AVE S,28TH ST E,27TH ST E,RES,"2635","17",ASPHALT7m,S.GRAN.MAT.,"1974",,"1999","3",,,"62","650",,,2013-08-08T00:00:00.000Z,"1436",-93.25505,44.952386,"2211",2019-02-14T00:00:00.000Z,2733 14TH AVE S,44.952386,-93.25505,"9",Phillips,Midtown Phillips,"3","3",Westminster,3.80675266569951e-05
"5918","014202540244",14TH AVE S,25TH ST E,24TH ST E,RES,"2985","8",ASPHALT7m,S.GRAN.MAT.,"1972","2003","2004","1",,,"76","650",,,2014-06-26T00:00:00.000Z,"1439",-93.254981,44.958683,"4093",2019-02-13T00:00:00.000Z,2406 14TH AVE S,44.958683,-93.254981,"9",Phillips,Midtown Phillips,"3","2",Westminster,2.59969733155869e-05
"5919","014202141612",14TH AVE S,21ST ST E,FRANKLIN AVE E,LOCAL,14AVS,"1",ASPHALT7m,S.GRAN.MAT.,"1972",,,,"2011","100",,"326",,,2011-11-01T00:00:00.000Z,"1442",-93.254548,44.961852,"3707",2019-02-13T00:00:00.000Z,1406 21ST ST E,44.961852,-93.254548,"6",Phillips,Ventura Village,"3","2",Westminster,0.000289468249260971
"5920","014300480058",14TH AVE SE,4TH ST SE,5TH ST SE,MSA,"230","2",ASPHALT,S.GRAN.MAT.,"1996",,,,,"91",,"412",,,2010-08-19T00:00:00.000Z,"1446",-93.235296,44.981684,"797",2019-02-12T00:00:00.000Z,1328 5TH ST SE,44.981684,-93.235296,"3",University,Marcy Holmes,"4","1",Westminster,0.000363203938847197
"5921","019204240414",19TH AVE S,42ND ST E,41ST ST E,RES,"2743","2",ASPHALT7,CRUSH.CONC,"1986",,"1995","2",,,"65","655",,,2013-07-10T00:00:00.000Z,"1875",-93.244798,44.927066,"4736",2019-02-14T00:00:00.000Z,4155 19TH AVE S,44.927066,-93.244798,"12",Powderhorn,Standish,"6","3",Westminster,6.778319300327e-07
"5922","019203840374",19TH AVE S,38TH ST E,37TH ST E,RES,"2701","5",ASPHALT7,CRUSH.CONC,"1989",,"1999","2",,,"70","660",,,2013-07-02T00:00:00.000Z,"1877",-93.246044,44.935727,"968",2019-02-13T00:00:00.000Z,3700 LONGFELLOW AVE S,44.935727,-93.246044,"12",Powderhorn,Standish,"6","2",Westminster,0.00123182713704552
